comp,value,freq,percent
CB,0,122,100
CB,12,34,72
CB,16,30,64
CB,20,26,57
CB,24,24,51
CB,28,22,45
CB,32,20,40
CB,36,18,35
CB,40,16,31
CB,44,14,27
CB,48,12,24
CB,52,10,21
CB,56,10,19
CB,60,8,17
CB,64,8,15
CB,68,8,13
CB,72,6,11
CB,76,6,10
CB,80,6,8
CB,84,6,7
CB,88,4,6
CB,92,4,5
CB,96,4,4
CB,100,4,3
CB,104,4,2
CB,108,4,1
QM,0,49,100
QM,12,13,72
QM,16,12,64
QM,20,11,57
QM,24,10,51
QM,28,9,45
QM,32,8,40
QM,36,7,35
QM,40,7,31
QM,44,5,27
QM,48,5,24
QM,52,4,21
QM,56,4,19
QM,60,4,17
QM,64,3,15
QM,68,3,13
QM,72,2,11
QM,76,2,10
QM,80,3,8
QM,84,2,7
QM,88,2,6
QM,92,2,5
QM,96,1,4
QM,100,1,3
QM,104,2,2
QM,108,2,1
QN,0,73,100
QN,12,20,72
QN,16,18,64
QN,20,16,57
QN,24,14,51
QN,28,13,45
QN,32,12,40
QN,36,11,35
QN,40,10,31
QN,44,8,27
QN,48,7,24
QN,52,6,21
QN,56,6,19
QN,60,5,17
QN,64,5,15
QN,68,4,13
QN,72,4,11
QN,76,4,10
QN,80,4,8
QN,84,3,7
QN,88,3,6
QN,92,3,5
QN,96,3,4
QN,100,2,3
QN,104,2,2
QN,108,2,1
